song_id,song_name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
3AA8xNhDC0MpqwkGX3EP5V,If I Ever Feel Better,Phoenix,0.755,0.553,6,-9.449,0,0.107,0.0492,0.00607,0.0646,0.836,119.7,266600,4
2i8lRhmZNKaM1ypHwRybuD,Dance To The Underground,Radio 4,0.667,0.667,7,-6.267,1,0.0388,0.00013,0.00385,0.0711,0.843,130.321,243213,4
4flxgPC0426CEeSrzQIic0,How We Do,Mount Sims,0.826,0.601,10,-3.966,0,0.0515,0.195,3.24e-06,0.07,0.948,126.971,234000,4
1XHFob24QklIXtLRopKirJ,Fuck the Pain Away,Peaches,0.905,0.945,4,-2.63,1,0.137,0.0354,0.00529,0.0707,0.944,131.597,250693,4
4JB847zlgViLq8tJIzRsZy,Street Surgery 2,Zongamin,0.797,0.536,11,-8.267,0,0.266,0.0315,2.88e-05,0.17,0.704,102.881,224800,4
3vyKSb9sAdXl0kQ1KnS9fY,Emerge,Fischerspooner,0.607,0.734,10,-7.622,1,0.0445,0.0906,0.812,0.0925,0.569,147.941,288307,4
3iDK8BAaBUatPR84gdfa9g,Such Great Heights,The Postal Service,0.653,0.818,5,-8.125,1,0.047,0.00907,0.23,0.0703,0.198,174.984,266347,4
5Bf5C7RkyXTqE1h3Q8KZJ7,The District Sleeps Alone Tonight,The Postal Service,0.621,0.775,0,-7.662,1,0.0513,0.129,0.0106,0.115,0.216,153.963,284293,4
0LEsGGRUrZZhLPFoxeioHr,Sleepin In,The Postal Service,0.715,0.635,0,-6.345,1,0.0384,0.234,0.000542,0.157,0.679,128.997,261253,4
6LtIW2Y5NbZnMlUJbiviQ6,Danger! High Voltage - Soulchild Radio Mix,Electric Six,0.66,0.698,11,-4.722,0,0.0302,1.92e-05,0.166,0.0517,0.511,123.005,214600,4
6s9iK4Hf5nLhdDMCnkDV3T,Gay Bar,Electric Six,0.4,0.975,7,-5.237,1,0.0987,0.000114,0.000624,0.152,0.32,171.963,140907,4
5rDFRvwao7MFzuhrBTkWMQ,We Don't Care,Audio Bullys,0.733,0.848,5,-6.489,0,0.0597,0.00112,0.00142,0.0882,0.658,124.066,210800,4
76qqmbeHyPhP2SjrO4jBZS,Good Luck,"Basement Jaxx, Lisa Kekaula",0.571,0.968,5,-3.092,1,0.162,0.0649,3.07e-06,0.592,0.313,154.07,282307,4
0OHxQIHykIU7RqLOPjBZOD,Dirge,Death In Vegas,0.578,0.585,9,-8.223,1,0.0273,0.000402,0.904,0.667,0.674,104.142,336333,4
6aVLqYFupVcWLJ7PyJqSUs,Girls,Death In Vegas,0.403,0.746,7,-8.35,1,0.0369,9.85e-05,0.891,0.594,0.0929,131.045,269160,4
