song_name,artist,cluster
If I Ever Feel Better,Phoenix,11
Dance To The Underground,Radio 4,2
How We Do,Mount Sims,11
Fuck the Pain Away,Peaches,7
Street Surgery 2,Zongamin,0
Emerge,Fischerspooner,8
Such Great Heights,The Postal Service,3
The District Sleeps Alone Tonight,The Postal Service,3
Sleepin In,The Postal Service,7
Danger! High Voltage - Soulchild Radio Mix,Electric Six,11
Gay Bar,Electric Six,3
We Don't Care,Audio Bullys,11
Good Luck,"Basement Jaxx, Lisa Kekaula",5
Dirge,Death In Vegas,5
Girls,Death In Vegas,5
Club Foot,Kasabian,10
Huddle Formation,The Go! Team,8
La ritournelle,Sébastien Tellier,15
Cherry Blossom Girl,Air,13
Day Job,The Fitness,7
Meantime,The Futureheads,3
Hounds of Love,The Futureheads,3
At the River,Groove Armada,15
I Disappear,The Faint,7
Tell Me Does She Love The Bass,Lesbians On Ecstasy,2
Teen Angst,M83,9
Galvanize,The Chemical Brothers,10
Finding out True Love Is Blind - Album/EP Version,"Louis XIV, Jason Hill, Brian Karscig",5
Robot Rock,Daft Punk,8
How Long,Out Hud,13
Banquet,Bloc Party,11
Helicopter,Bloc Party,9
This Modern Love,Bloc Party,3
Never Win,Fischerspooner,2
Frenchy I'm Faking,Architecture In Helsinki,1
Apart,Elkland,3
Apply Some Pressure,Maximo Park,3
Love + Pain,Clor,9
All Night Disco Party,Brakes,2
Rock & Roll Queen,The Subways,9
Middle of Nowhere,Hot Hot Heat,2
Jacques Your Body (Make Me Sweat) - Radio Edit,Les Rythmes Digitales,9
Riot Radio,The Dead 60s,11
Do You Want To,Franz Ferdinand,5
Boa Vs Python,Test Icicles,9
Tear You Apart,She Wants Revenge,5
Over And Over,Hot Chip,11
Without You,Elkland,7
Budapest,"Poni Hoax, Olga Kouklaki",2
Monster,The Automatic Automatic,9
Standing In the Way of Control,Gossip,2
"Nobody Move, Nobody Get Hurt",We Are Scientists,3
Love Like Semtex,Infadels,5
Gold Lion,Yeah Yeah Yeahs,3
The Treatment,Dead Disco,10
I Am The Night Before,Kissogram,7
Ankle Injuries,Fujiya & Miyagi,13
Stutter,Kubichek!,3
Boys Wanna Be Her,Peaches,7
Let's Make Love and Listen to Death From Above,CSS,11
Alala,CSS,9
"Music Is My Hot, Hot Sex",CSS,11
Suzie,Boy Kill Boy,3
We Are Your Friends - Justice Vs Simian,"Justice, Simian",9
Loud Pipes,Ratatat,13
Wildcat,Ratatat,7
Don't Give Up,The Whitest Boy Alive,15
Burning,The Whitest Boy Alive,13
Pride Before the Fall,The KBC,7
Automatic,Dead Disco,3
Wolf Like Me,TV On The Radio,3
Pieces Of The People We Love,The Rapture,2
I Don't Feel Like Dancin',Scissor Sisters,2
I Can't Decide,Scissor Sisters,7
I'm On Fire,Chromatics,1
Drop The Decade,Shut Your Eyes And You'll Burst Into Flames,11
That’s What She Said,The Automatic,9
Le Disko,Shiny Toy Guns,2
Walking Machine - Sebastian Remix,Revl9n,11
Heartbeats,The Knife,2
Embrace,PNAU,9
Dr Love,Bumblebeez,3
When You Leave,Maps,10
Rainbow Man,Busy P,8
Blind - Frankie Knuckles Remix,Hercules & Love Affair,15
With You Forever,PNAU,5
It's Not Over Yet,Klaxons,3
Baby,PNAU,11
Come Together,PNAU,2
Pony,Teenager,11
We Were Born The Mutants Again With Leafling,of Montreal,2
Cato As A Pun,of Montreal,9
Young Folks,Peter Bjorn and John,7
Ruby,Kaiser Chiefs,9
All My Friends,LCD Soundsystem,15
Someone Great,LCD Soundsystem,2
A Strange Education,The Cinematics,5
Books From Boxes,Maximo Park,10
Our Velocity,Maximo Park,11
Four Horsemen Of 2012,Klaxons,3
Dream Of Infinity,Shitdisco,3
See The Blood,Black Wire,9
Pogo,Digitalism,5
Digitalism In Cairo,Digitalism,6
Men's Needs,The Cribs,11
You Made Me Like It,1990s,6
Astronaut,Shy Child,9
First Love,The Maccabees,3
Believe,The Bravery,3
Solta O Frango,Bonde Do Role,7
I’m A Man,Black Strobe,13
D.A.N.C.E.,Justice,5
Surrender,(We Are) Performance,5
Let's Dance to Joy Division,The Wombats,5
La Verite,Vive La Fête,7
Waterwater,Jakobínarína,13
Paper Planes,M.I.A.,5
Bring On The Comets,VHS or Beta,7
Je veux te voir,Yelle,2
Ce jeu,Yelle,2
Grip Like A Vice,The Go! Team,5
I Believe,Simian Mobile Disco,2
Stripper,Sohodolls,2
London Scene?,Twisted Charm,7
Less Talk More Rokk,Freezepop,14
Ice Cream,Muscles,2
Think Fast,Bolt Action Five,11
Overpowered,Róisín Murphy,11
Japanese Girl - Eskimo Disco Vs Fred Falke Radio Remix,Eskimo Disco,0
Wonderland,Winterkids,3
Milk Crisis,The Go! Team,8
Fear And Fluoride,Dead Kids,3
Drop The Phone,Shy Child,8
Architechs of Discotech,Glamour For Better,11
"tell me, computer",to my boy,3
Paris (Aeroplane Remix),Friendly Fires,15
Bruises,Chairlift,3
The Knife: Heartbeats - Rex The Dog Remix,Rex The Dog,5
Jerk It,Thunderheist,11
You! Me! Dancing!,Los Campesinos!,3
Skeleton Boy,Friendly Fires,7
Jump In The Pool,Friendly Fires,3
Halo,Bloc Party,5
Hearts On Fire,Cut Copy,13
Ready For The Floor,Hot Chip,11
Mr Understanding,Pete And The Pirates,7
Couleurs,M83,15
Safety Dance,Dandi Wind,5
Blind - Radio Edit,Hercules & Love Affair,11
Why Cant we be Friends?,Trash Fashion,9
Untrust Us,Crystal Castles,9
Drama Queen,Switches,8
Sister Self Doubt,Get Shakes,11
Poor Innocent Boys,Cazals,9
Young Love (feat. Laura Marling),"Mystery Jets, Laura Marling",7
Two Doors Down,Mystery Jets,11
Lights & Music,Cut Copy,5
