song_title,artist
Lovin On Me,Jack Harlow
Lil Boo Thang,Paul Russell
I Remember Everything (feat. Kacey Musgraves),Zach Bryan
White Horse,Chris Stapleton
Need A Favor,Jelly Roll
Save Me (with Lainey Wilson),Jelly Roll
Around Me the Cold Night,Luminara Stellaris
90s Rap Mashup,Austin Williams
Next Winter I Will Wait for You Forever,Luminara Stellaris
Cruel Summer,Taylor Swift
Standing Next to You,Jung Kook
Thinkin’ Bout Me,Morgan Wallen
All I Want for Christmas Is You,Mariah Carey
3D,Jung Kook & Jack Harlow
Even Though I Know You,Luminara Stellaris
Christmas / Sarajevo 12/24 (Instrumental),Trans-Siberian Orchestra
greedy,Tate McRae
Sin So Sweet,Warren Zeiders
Fast Car,Luke Combs
In the Sky a White Cloud Drifted Lazily,Luminara Stellaris
Now And Then,The Beatles
Lose Control,Teddy Swims
Standing Next to You (Band Version),Jung Kook
Houdini,Dua Lipa
Water,Tyla
Standing Next to You (Future Funk Remix),Jung Kook
Standing Next to You (Slow Jam Remix),Jung Kook
Standing Next to You (Holiday Remix),Jung Kook
Standing Next to You (Instrumental),Jung Kook
Rockin' Around the Christmas Tree (Single),Brenda Lee
Standing Next to You (Latin Trap Remix),Jung Kook
Standing Next to You (PBR&B Remix),Jung Kook
Last Night,Morgan Wallen
Now I Know I Know I've Lost You,Luminara Stellaris
Where the Wild Things Are,Luke Combs
Paint The Town Red,Doja Cat
Fairytale Of Philadelphia,"The Philly Specials, Jason Kelce & Travis Kelce"
The Wind Brings Winter,Luminara Stellaris
Why Don't You Tell the Truth ?,The day you
Flyin' Pass (Single),Caldwell
Still Not Fade the Footprints,Luminara Stellaris
Wrap Me Up,Jimmy Fallon & Meghan Trainor
Tonight I Dreamed a Pink Dream,Luminara Stellaris
You Don't Need to Worry,The day you
My Heart Has Come Back,Luminara Stellaris
If You Dont Have One-The Day You,The day you
I Still Miss You Every Time Dusk Falls,Luminara Stellaris
Rich Men North of Richmond,Oliver Anthony Music
Used To Be Young,Miley Cyrus
To Be A Man (feat. Darius Rucker),Dax
The Pink Rays of Sunlight Disappear,Luminara Stellaris
Karma,Taylor Swift
Can’t Catch Me Now (from The Hunger Games: The Ballad of Songbirds & Snakes),Olivia Rodrigo
Weather Forecast Today Rain,The day you
Better Place (From TROLLS Band Together),*NSYNC & Justin Timberlake
Wild Ones (Extended Version),Jessie Murph & Jelly Roll
The Buds of Youth Are Still Lingering There,Luminara Stellaris
Save Me,Jelly Roll
Snowman,Sia
Evil Ways (feat. J. Cole),Drake
Fancy Like Christmas,Walker Hayes
Forever Settled Inside Me,Luminara Stellaris
Watermelon Moonshine,Lainey Wilson
The Christmas Song (Merry Christmas to You),"Nat ""King"" Cole"
Please Stay Don't Go,The day you
Anti-Hero,Taylor Swift
My Arms Are Spread Wide With Joy,Luminara Stellaris
You Broke My Heart,Drake
Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift
So It's Sad to Be Apart,Luminara Stellaris
Son Of A Sinner,Jelly Roll
Dance The Night,Dua Lipa
The Painter,Cody Johnson
exes,Tate McRae
Seven (Explicit Ver.),Jung Kook & Latto
Islands In the Stream,Dolly Parton & Kenny Rogers
Gratitude,Brandon Lake
Lover,Taylor Swift
MONACO,Bad Bunny
Wizards in Winter (Instrumental),Trans-Siberian Orchestra
The Chipmunk Song (Christmas Don't Be Late),Alvin & The Chipmunks
Bigger Than The Whole Sky,Taylor Swift
Tennessee Whiskey,Chris Stapleton
Those Who Leave Will Not Return,Luminara Stellaris
Dial Drunk,Noah Kahan & Post Malone
Presha,2 Chainz & Lil Wayne
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish
Strangers,Kenya Grace
Autumn Comes Dry,Luminara Stellaris
See You in Another Time,The day you
Flowers,Miley Cyrus
Stay With Me Santa (Mrs. Claus' Christmas Wish),SMITH
Keith,Kaylee Bell
vampire,Olivia Rodrigo
I Hold the Storm in My Heart,The day you
Last Christmas (Single Version),Wham!
TRUCK BED,HARDY
Daylight,David Kushner
White Christmas,Bing Crosby
Pretty Little Poison,Warren Zeiders
